aX,aY,aZ,gX,gY,gZ
0.246,0.128,0.604,-48.706,35.645,-69.946
0.255,0.149,0.574,-41.26,36.682,-70.251
0.265,0.162,0.538,-33.569,38.086,-69.885
0.256,0.165,0.528,-25.269,39.368,-69.275
0.255,0.156,0.546,-17.09,40.955,-68.542
0.254,0.132,0.54,-9.338,42.603,-67.993
0.252,0.103,0.537,-1.404,44.067,-68.054
0.266,0.082,0.526,6.226,45.776,-68.665
0.283,0.069,0.494,13.977,47.302,-69.153
0.294,0.069,0.465,21.667,48.889,-69.763
0.303,0.072,0.472,28.809,50.354,-69.946
0.297,0.085,0.515,34.912,51.331,-69.275
0.282,0.086,0.584,39.551,51.697,-68.237
0.269,0.069,0.645,42.48,51.208,-66.956
0.261,0.038,0.679,44.006,50.171,-65.552
0.268,-0.001,0.677,44.434,49.133,-64.941
0.287,-0.027,0.638,43.64,47.852,-65.186
0.313,-0.032,0.647,42.236,46.631,-65.735
0.334,0,0.688,40.222,45.105,-65.613
0.339,0.05,0.765,37.17,43.091,-64.758
0.333,0.098,0.875,32.898,40.1,-63.171
0.317,0.146,0.987,27.405,36.743,-60.608
0.293,0.18,1.059,20.813,32.349,-57.19
0.277,0.183,1.076,13.794,27.954,-53.65
0.27,0.161,1.048,7.263,23.376,-49.866
0.27,0.123,1.012,2.014,18.738,-46.875
0.273,0.092,1.001,-1.953,14.648,-44.373
0.284,0.092,0.995,-4.944,10.437,-41.87
0.291,0.122,1.001,-7.141,6.226,-39.246
0.292,0.167,1.033,-8.606,2.258,-35.95
0.29,0.207,1.074,-10.193,-1.404,-32.043
0.287,0.237,1.088,-11.353,-4.822,-27.527
0.279,0.244,1.072,-12.146,-7.935,-22.766
0.273,0.232,1.028,-12.024,-10.803,-18.005
0.277,0.217,0.966,-11.047,-13,-13.733
0.288,0.208,0.903,-9.277,-13.794,-9.705
0.3,0.205,0.859,-6.653,-14.099,-6.042
0.308,0.205,0.839,-3.601,-13.794,-2.869
0.309,0.209,0.851,0.061,-13.184,0.671
0.305,0.212,0.886,3.174,-12.573,4.456
0.3,0.21,0.902,5.676,-12.207,8.484
0.294,0.198,0.894,8.057,-11.78,12.512
0.292,0.175,0.875,9.827,-11.658,16.235
0.298,0.15,0.848,11.292,-11.475,19.47
0.305,0.123,0.818,12.573,-11.169,22.522
0.311,0.099,0.807,13.611,-10.742,25.146
0.316,0.086,0.824,14.221,-10.132,27.649
0.315,0.08,0.838,14.221,-9.949,29.907
0.307,0.076,0.837,13.733,-10.01,32.104
0.295,0.07,0.844,13.062,-10.071,34.424
0.287,0.066,0.849,11.841,-10.315,36.865
0.279,0.064,0.839,10.315,-10.742,39.001
0.281,0.063,0.826,8.789,-11.108,41.138
0.287,0.057,0.814,7.446,-11.536,42.969
0.292,0.047,0.795,6.287,-11.841,44.556
0.295,0.037,0.768,5.615,-12.207,45.898
0.296,0.027,0.737,5.249,-12.573,47.119
0.297,0.017,0.719,5.249,-13.062,48.035
0.293,0.008,0.705,5.554,-13.306,49.255
0.283,-0.002,0.715,6.042,-13.428,50.171
0.28,-0.009,0.786,6.653,-14.099,50.903
0.286,-0.002,0.875,6.775,-15.442,51.575
0.294,0.001,0.95,6.165,-17.578,51.88
0.298,0.003,0.997,5.493,-20.752,52.185
0.299,0.001,1.006,4.822,-24.78,52.185
0.299,0.008,0.98,4.272,-29.053,52.002
0.302,0.007,0.944,4.333,-33.569,51.819
0.301,-0.002,0.908,4.944,-37.781,51.697
0.293,-0.019,0.891,6.104,-41.443,51.575
0.278,-0.037,0.876,8.179,-44.8,51.147
0.259,-0.056,0.85,10.498,-47.363,50.354
0.247,-0.061,0.796,13.123,-50.049,49.377
0.246,-0.061,0.743,15.808,-52.002,48.34
0.254,-0.057,0.746,18.066,-53.284,47.241
0.26,-0.053,0.775,20.142,-53.894,46.387
0.251,-0.043,0.796,21.362,-54.26,45.593
0.235,-0.026,0.831,21.729,-53.955,44.983
0.219,-0.008,0.817,21.179,-53.162,44.434
0.198,0.01,0.741,19.958,-51.514,44.067
0.182,0.033,0.649,18.188,-48.706,44.312
0.173,0.051,0.556,16.052,-44.617,45.288
0.172,0.063,0.496,13.855,-39.612,46.326
0.178,0.061,0.521,11.597,-33.691,47.791
0.178,0.047,0.605,9.888,-28.32,49.194
0.167,0.024,0.737,8.545,-23.682,50.476
0.163,0,0.872,7.507,-20.63,51.331
0.162,-0.02,0.943,6.531,-19.287,51.88
0.157,-0.038,0.96,5.676,-19.043,52.002
0.161,-0.043,0.948,5.371,-19.47,51.88
0.183,-0.033,0.953,4.822,-20.02,51.758
0.2,-0.029,0.976,4.272,-20.264,51.575
0.193,-0.042,1.055,3.601,-20.691,51.331
0.179,-0.054,1.143,2.869,-21.973,50.537
0.163,-0.062,1.124,2.014,-23.926,49.255
0.141,-0.069,1.026,1.221,-25.391,47.791
0.133,-0.062,0.927,0.793,-25.269,46.509
0.14,-0.045,0.838,0.183,-23.071,45.105
0.156,-0.034,0.769,-0.854,-18.86,44.067
0.178,-0.034,0.74,-1.77,-13.306,43.091
0.204,-0.034,0.793,-2.319,-6.775,41.809
0.22,-0.042,0.886,-2.441,-0.916,40.283
0.216,-0.062,0.975,-2.014,3.967,38.33
0.203,-0.08,1.042,-1.282,7.69,35.767
0.186,-0.1,1.077,0.549,9.766,32.654
0.173,-0.112,1.07,3.357,11.414,29.297
0.174,-0.117,1.071,6.836,12.329,25.757
