aX,aY,aZ,gX,gY,gZ
-0.183,0.827,-0.066,-206.238,-39.368,-65.735
-0.17,0.822,-0.096,-207.642,-36.011,-66.04
-0.157,0.816,-0.129,-208.74,-32.776,-66.467
-0.141,0.828,-0.138,-209.412,-29.968,-66.956
-0.13,0.827,-0.177,-209.656,-27.283,-67.322
-0.119,0.819,-0.213,-209.412,-25.024,-67.688
-0.112,0.807,-0.249,-208.862,-22.766,-68.054
-0.096,0.797,-0.263,-208.069,-20.569,-68.359
-0.082,0.791,-0.276,-206.97,-18.86,-68.604
-0.073,0.791,-0.307,-205.505,-17.151,-68.909
-0.06,0.786,-0.343,-203.674,-15.686,-69.031
-0.05,0.778,-0.376,-201.66,-14.221,-69.092
-0.037,0.771,-0.396,-199.097,-13,-68.97
-0.022,0.766,-0.407,-196.228,-11.78,-68.42
-0.011,0.763,-0.424,-192.81,-10.925,-67.81
-0.005,0.762,-0.447,-188.904,-10.193,-66.956
0.002,0.754,-0.467,-184.814,-9.216,-65.857
0.012,0.733,-0.488,-180.481,-8.606,-64.331
0.02,0.713,-0.496,-176.147,-7.935,-62.866
0.026,0.696,-0.507,-171.631,-7.446,-61.34
0.037,0.686,-0.513,-167.175,-6.958,-59.937
0.035,0.662,-0.54,-162.476,-6.653,-58.167
0.038,0.638,-0.559,-158.02,-6.287,-56.335
0.038,0.611,-0.579,-153.625,-5.737,-54.504
0.04,0.602,-0.578,-149.414,-5.066,-52.612
0.048,0.587,-0.592,-145.142,-4.639,-50.293
0.05,0.558,-0.604,-140.747,-4.15,-47.485
0.046,0.527,-0.613,-136.475,-3.723,-45.105
0.038,0.487,-0.624,-132.08,-3.296,-42.725
0.029,0.44,-0.636,-127.93,-2.869,-40.344
0.025,0.418,-0.642,-124.023,-2.441,-38.147
0.021,0.403,-0.651,-119.995,-1.77,-36.133
0.021,0.385,-0.656,-116.211,-1.16,-34.058
0.021,0.364,-0.671,-112.427,-0.549,-31.738
0.017,0.339,-0.678,-108.765,0.122,-29.297
0.012,0.308,-0.694,-105.408,1.038,-26.489
0.005,0.272,-0.71,-102.173,1.953,-23.437
-0.008,0.23,-0.722,-99.304,2.686,-20.63
-0.023,0.19,-0.725,-96.191,3.418,-17.822
-0.034,0.155,-0.723,-92.163,3.906,-15.198
-0.043,0.134,-0.721,-87.769,4.211,-12.695
-0.044,0.111,-0.725,-82.764,4.7,-10.254
-0.047,0.081,-0.737,-77.332,4.944,-7.751
-0.048,0.054,-0.75,-71.594,5.249,-5.127
-0.055,0.019,-0.772,-66.101,5.859,-2.808
-0.064,-0.01,-0.785,-60.974,6.592,-0.427
-0.077,-0.033,-0.792,-55.786,7.446,2.319
-0.088,-0.052,-0.791,-50.476,8.362,5.127
-0.092,-0.061,-0.781,-45.166,9.216,7.629
-0.09,-0.071,-0.778,-39.429,9.827,10.071
-0.085,-0.076,-0.781,-32.898,10.62,12.573
-0.075,-0.08,-0.784,-26.001,10.864,15.32
-0.068,-0.091,-0.795,-18.738,11.047,18.066
-0.068,-0.096,-0.811,-11.902,11.414,20.569
-0.068,-0.103,-0.825,-4.944,12.146,22.949
-0.068,-0.106,-0.836,2.136,12.939,25.146
-0.069,-0.102,-0.847,9.399,13.977,27.161
-0.066,-0.086,-0.84,16.846,15.381,28.687
-0.057,-0.067,-0.832,24.475,17.029,30.212
-0.045,-0.048,-0.825,32.837,18.372,31.616
-0.036,-0.028,-0.821,41.26,19.287,33.081
-0.028,-0.007,-0.819,49.744,20.325,34.302
-0.019,0.016,-0.822,58.533,21.118,35.522
-0.015,0.032,-0.834,66.833,22.095,37.048
-0.014,0.041,-0.849,74.951,23.193,38.208
-0.016,0.052,-0.859,82.764,24.658,39.368
-0.015,0.07,-0.86,90.21,26.489,40.161
-0.011,0.099,-0.849,97.351,28.198,40.955
-0.005,0.128,-0.835,104.675,29.846,41.687
-0.001,0.156,-0.825,111.755,31.372,42.236
0.004,0.186,-0.813,119.019,32.654,42.847
0.004,0.21,-0.809,126.038,33.813,43.457
0.002,0.23,-0.803,132.202,35.278,44.128
-0.001,0.251,-0.792,137.878,36.682,44.617
-0.005,0.267,-0.78,143.005,38.025,45.166
-0.01,0.286,-0.766,147.461,39.429,45.41
-0.017,0.313,-0.748,151.428,40.833,45.776
-0.02,0.346,-0.732,154.846,42.419,46.143
-0.025,0.371,-0.722,157.959,43.701,46.692
-0.028,0.397,-0.709,160.828,45.044,47.424
-0.034,0.423,-0.691,163.452,46.692,48.279
