aX,aY,aZ,gX,gY,gZ
-0.499,0.142,0.74,87.585,129.639,96.924
-0.518,0.146,0.723,83.435,129.761,94.543
-0.534,0.136,0.738,79.224,130.859,92.468
-0.526,0.114,0.778,74.951,132.751,90.271
-0.509,0.088,0.827,70.801,134.46,87.646
-0.498,0.06,0.886,67.017,135.559,84.9
-0.489,0.04,0.938,63.171,135.559,81.787
-0.479,0.027,0.966,59.631,135.193,78.369
-0.473,0.025,0.973,56.152,134.033,75.134
-0.474,0.026,0.982,52.795,132.812,72.144
-0.481,0.026,1.009,49.988,132.08,69.458
-0.483,0.024,1.043,47.607,131.348,66.833
-0.471,0.015,1.08,45.898,130.31,64.331
-0.455,0,1.106,44.8,129.15,61.829
-0.45,-0.009,1.136,43.518,127.502,59.143
-0.452,-0.013,1.161,42.664,125.61,56.519
-0.453,-0.016,1.178,41.748,124.146,54.016
-0.45,-0.021,1.198,41.077,122.437,51.636
-0.447,-0.026,1.22,40.405,120.911,49.377
-0.437,-0.034,1.243,39.917,119.263,46.936
-0.425,-0.042,1.264,39.001,117.432,44.312
-0.418,-0.047,1.288,37.903,115.051,41.748
-0.413,-0.051,1.297,36.316,112.366,39.429
-0.412,-0.056,1.279,34.302,109.68,37.109
-0.418,-0.061,1.25,31.982,107.544,35.095
-0.419,-0.065,1.217,29.114,105.957,33.081
-0.414,-0.07,1.173,26.306,105.042,31.067
-0.403,-0.069,1.142,22.827,105.164,29.236
-0.387,-0.062,1.142,19.226,105.713,27.649
-0.372,-0.046,1.142,16.479,106.506,26.001
-0.356,-0.031,1.15,13.55,107.605,24.78
-0.34,-0.018,1.162,11.169,108.398,23.987
-0.326,-0.008,1.175,9.521,108.948,23.376
-0.31,-0.002,1.192,8.24,109.375,23.01
-0.299,-0.001,1.207,7.69,109.009,22.888
-0.292,-0.001,1.227,7.263,108.398,22.949
-0.281,-0.005,1.247,7.568,107.605,23.071
-0.273,-0.003,1.267,8.057,106.506,23.132
-0.263,0,1.29,9.277,105.225,23.254
-0.251,0.005,1.316,10.803,103.699,23.437
-0.239,0.007,1.347,12.329,101.624,23.621
-0.224,0.012,1.38,13.611,99.06,23.987
-0.206,0.017,1.408,14.648,95.337,24.719
