aX,aY,aZ,gX,gY,gZ
0.113,-0.011,1.072,13.245,-26.55,20.508
0.101,-0.012,1.088,14.038,-27.832,20.081
0.103,-0.019,1.054,13.916,-29.419,19.165
0.116,-0.023,0.978,13.367,-30.579,18.127
0.135,-0.026,0.886,12.878,-30.64,17.151
0.147,-0.027,0.814,12.634,-29.175,15.991
0.151,-0.024,0.767,12.39,-27.039,14.709
0.143,-0.02,0.753,12.756,-24.048,13.672
0.118,-0.016,0.788,12.451,-20.874,12.756
0.089,-0.007,0.836,11.78,-18.005,11.719
0.065,-0.002,0.874,10.498,-16.052,10.803
0.041,-0.002,0.898,8.85,-14.709,9.949
0.02,0,0.905,7.08,-13.794,8.85
0.006,0.003,0.899,5.493,-13,7.69
-0.008,0.007,0.881,4.028,-12.39,6.531
-0.019,0.008,0.856,3.052,-11.597,5.005
-0.029,0.01,0.82,2.136,-10.498,3.296
-0.033,0.013,0.782,2.014,-9.155,1.587
-0.038,0.014,0.762,1.831,-7.263,-0.122
-0.05,0.016,0.765,1.77,-5.31,-2.075
-0.059,0.018,0.775,1.709,-3.54,-3.479
-0.064,0.014,0.781,1.831,-1.587,-5.249
-0.078,0.011,0.778,2.075,-0.122,-7.324
-0.085,0.013,0.76,2.38,1.16,-9.399
-0.086,0.022,0.735,2.93,2.319,-11.536
-0.087,0.032,0.72,3.418,3.418,-13.489
-0.088,0.043,0.696,4.028,4.639,-15.259
-0.079,0.051,0.67,4.456,6.165,-16.846
-0.068,0.051,0.665,4.822,7.996,-18.311
-0.071,0.051,0.676,5.615,9.644,-19.592
-0.076,0.05,0.695,6.226,10.742,-20.813
-0.087,0.053,0.727,6.775,11.597,-21.912
-0.108,0.058,0.76,7.507,11.78,-22.461
-0.127,0.068,0.784,8.179,11.292,-22.705
-0.133,0.076,0.79,8.972,10.437,-22.339
-0.13,0.081,0.779,9.705,9.338,-21.912
-0.123,0.079,0.746,10.376,8.667,-21.118
-0.115,0.072,0.7,10.925,8.179,-20.203
-0.111,0.06,0.667,11.414,8.179,-19.47
-0.111,0.042,0.639,12.024,8.301,-18.677
-0.119,0.024,0.645,12.878,8.545,-17.944
-0.14,0.016,0.693,14.16,8.85,-17.578
-0.165,0.01,0.759,15.198,8.728,-16.968
-0.188,0.005,0.83,16.479,7.874,-16.479
-0.206,0.013,0.885,17.639,6.409,-15.869
-0.218,0.026,0.9,18.25,4.456,-15.198
-0.222,0.037,0.881,18.677,2.747,-14.16
-0.221,0.04,0.831,18.982,1.465,-13.062
-0.215,0.037,0.759,18.982,1.038,-11.902
-0.211,0.036,0.694,18.86,1.282,-10.986
-0.21,0.03,0.657,18.677,2.625,-10.315
-0.225,0.028,0.682,18.494,4.028,-9.644
-0.241,0.035,0.73,18.311,5.615,-8.85
-0.25,0.037,0.771,18.066,6.653,-8.179
-0.248,0.039,0.789,17.639,7.507,-7.446
-0.23,0.035,0.771,17.029,7.996,-6.775
-0.203,0.021,0.713,16.296,8.789,-6.042
-0.194,0.009,0.686,15.991,10.315,-5.676
-0.21,0.007,0.758,15.93,11.841,-5.493
-0.224,0.015,0.841,16.113,12.939,-5.249
-0.223,0.013,0.911,16.235,13.306,-4.578
-0.212,0.006,0.958,16.052,13.245,-4.089
-0.198,-0.004,0.937,16.052,12.695,-3.784
